Id,Label,timeset,topgenre,Degree,modularity_class,componentnumber
45,Damaine Radcliff,,Crime,3,7,0
46,De'Shawn Washington,,Crime,3,7,0
47,Radha Mitchell,,Adventure,3,7,0
48,Laurie Holden,,Horror,6,7,0
49,Sean Bean,,Adventure,6,7,0
50,Deborah Kara Unger,,Adventure,3,7,0
79,Amanda Bynes,,Comedy,6,7,0
80,Laura Ramsey,,Comedy,3,7,0
81,Vinnie Jones,,Comedy,6,7,0
149,Brandon Routh,,Action,3,7,0
150,Kevin Spacey,,Sci-Fi,11,7,0
151,Kate Bosworth,,Drama,8,7,0
152,James Marsden,,Romance,12,7,0
175,Jonah Hill,,Comedy,23,7,0
188,Marcia Gay Harden,,Adventure,6,7,0
218,Lauren Birkell,,Drama,3,7,7
219,Paul Borghese,,Drama,3,7,7
220,Chira Cassel,,Drama,3,7,7
221,Anthony Cirillo,,Drama,3,7,7
243,Jennifer Garner,,Drama,18,7,0
270,Thomas Jane,,Horror,9,7,0
271,Andre Braugher,,Horror,3,7,0
327,Jim Sturgess,,Drama,15,7,0
439,Carmen Electra,,Comedy,3,7,0
440,Vanessa Lachey,,Comedy,3,7,0
441,Nicole Parker,,Comedy,3,7,0
442,Matt Lanter,,Comedy,6,7,0
451,Aaron Yoo,,Crime,3,7,0
466,Leslie Bibb,,Horror,6,7,0
467,Brooke Shields,,Horror,3,7,0
530,Jamie Foxx,,Drama,15,7,0
531,Colm Meaney,,Crime,3,7,0
